,Date
1499,2016-03-10
1500,2016-03-11
1501,2016-03-14
1502,2016-03-15
1503,2016-03-16
1504,2016-03-17
1505,2016-03-18
1506,2016-03-21
1507,2016-03-22
1508,2016-03-23
1509,2016-03-24
1510,2016-03-25
1511,2016-03-28
1512,2016-03-29
1513,2016-03-30
1514,2016-03-31
1515,2016-04-01
1516,2016-04-05
1517,2016-04-06
1518,2016-04-07
1519,2016-04-08
1520,2016-04-11
1521,2016-04-12
1522,2016-04-13
1523,2016-04-14
1524,2016-04-15
1525,2016-04-18
1526,2016-04-19
1527,2016-04-20
1528,2016-04-21
1529,2016-04-22
1530,2016-04-25
1531,2016-04-26
1532,2016-04-27
1533,2016-04-28
1534,2016-04-29
1535,2016-05-03
1536,2016-05-04
1537,2016-05-05
1538,2016-05-06
1539,2016-05-09
1540,2016-05-10
1541,2016-05-11
1542,2016-05-12
1543,2016-05-13
1544,2016-05-16
1545,2016-05-17
1546,2016-05-18
1547,2016-05-19
1548,2016-05-20
1549,2016-05-23
1550,2016-05-24
1551,2016-05-25
1552,2016-05-26
1553,2016-05-27
1554,2016-05-30
1555,2016-05-31
1556,2016-06-01
1557,2016-06-02
1558,2016-06-03
1559,2016-06-06
1560,2016-06-07
1561,2016-06-08
1562,2016-06-13
1563,2016-06-14
1564,2016-06-15
1565,2016-06-16
1566,2016-06-17
1567,2016-06-20
1568,2016-06-21
1569,2016-06-22
1570,2016-06-23
1571,2016-06-24
1572,2016-06-27
1573,2016-06-28
1574,2016-06-29
1575,2016-06-30
1576,2016-07-01
1577,2016-07-04
1578,2016-07-05
1579,2016-07-06
1580,2016-07-07
1581,2016-07-08
1582,2016-07-11
1583,2016-07-12
1584,2016-07-13
1585,2016-07-14
1586,2016-07-15
1587,2016-07-18
1588,2016-07-19
1589,2016-07-20
1590,2016-07-21
1591,2016-07-22
1592,2016-07-25
1593,2016-07-26
1594,2016-07-27
1595,2016-07-28
1596,2016-07-29
1597,2016-08-01
1598,2016-08-02
1599,2016-08-03
1600,2016-08-04
1601,2016-08-05
1602,2016-08-08
1603,2016-08-09
1604,2016-08-10
1605,2016-08-11
1606,2016-08-12
1607,2016-08-15
1608,2016-08-16
1609,2016-08-17
1610,2016-08-18
1611,2016-08-19
1612,2016-08-22
1613,2016-08-23
1614,2016-08-24
1615,2016-08-25
1616,2016-08-26
1617,2016-08-29
1618,2016-08-30
1619,2016-08-31
1620,2016-09-01
1621,2016-09-02
1622,2016-09-05
1623,2016-09-06
1624,2016-09-07
1625,2016-09-08
1626,2016-09-09
1627,2016-09-12
1628,2016-09-13
1629,2016-09-14
1630,2016-09-19
1631,2016-09-20
1632,2016-09-21
1633,2016-09-22
1634,2016-09-23
1635,2016-09-26
1636,2016-09-27
1637,2016-09-28
1638,2016-09-29
1639,2016-09-30
1640,2016-10-10
1641,2016-10-11
1642,2016-10-12
1643,2016-10-13
1644,2016-10-14
1645,2016-10-17
1646,2016-10-18
1647,2016-10-19
1648,2016-10-20
1649,2016-10-21
1650,2016-10-24
1651,2016-10-25
1652,2016-10-26
1653,2016-10-27
1654,2016-10-28
1655,2016-10-31
1656,2016-11-01
1657,2016-11-02
1658,2016-11-03
1659,2016-11-04
1660,2016-11-07
1661,2016-11-08
1662,2016-11-09
1663,2016-11-10
1664,2016-11-11
1665,2016-11-14
1666,2016-11-15
1667,2016-11-16
1668,2016-11-17
1669,2016-11-18
1670,2016-11-21
1671,2016-11-22
1672,2016-11-23
1673,2016-11-24
1674,2016-11-25
1675,2016-11-28
1676,2016-11-29
1677,2016-11-30
1678,2016-12-01
1679,2016-12-02
1680,2016-12-05
1681,2016-12-06
1682,2016-12-07
1683,2016-12-08
1684,2016-12-09
1685,2016-12-12
1686,2016-12-13
1687,2016-12-14
1688,2016-12-15
1689,2016-12-16
1690,2016-12-19
1691,2016-12-20
1692,2016-12-21
1693,2016-12-22
1694,2016-12-23
1695,2016-12-26
1696,2016-12-27
1697,2016-12-28
1698,2016-12-29
1699,2016-12-30
1700,2017-01-03
1701,2017-01-04
1702,2017-01-05
1703,2017-01-06
1704,2017-01-09
1705,2017-01-10
1706,2017-01-11
1707,2017-01-12
1708,2017-01-13
1709,2017-01-16
1710,2017-01-17
1711,2017-01-18
1712,2017-01-19
1713,2017-01-20
1714,2017-01-23
1715,2017-01-24
1716,2017-01-25
1717,2017-01-26
1718,2017-02-03
1719,2017-02-06
1720,2017-02-07
1721,2017-02-08
1722,2017-02-09
1723,2017-02-10
1724,2017-02-13
1725,2017-02-14
1726,2017-02-15
1727,2017-02-16
1728,2017-02-17
1729,2017-02-20
1730,2017-02-21
1731,2017-02-22
1732,2017-02-23
1733,2017-02-24
1734,2017-02-27
1735,2017-02-28
1736,2017-03-01
1737,2017-03-02
1738,2017-03-03
1739,2017-03-06
1740,2017-03-07
1741,2017-03-08
1742,2017-03-09
1743,2017-03-10
1744,2017-03-13
1745,2017-03-14
1746,2017-03-15
1747,2017-03-16
1748,2017-03-17
1749,2017-03-20
1750,2017-03-21
1751,2017-03-22
1752,2017-03-23
1753,2017-03-24
1754,2017-03-27
1755,2017-03-28
1756,2017-03-29
1757,2017-03-30
1758,2017-03-31
1759,2017-04-05
1760,2017-04-06
1761,2017-04-07
1762,2017-04-10
1763,2017-04-11
1764,2017-04-12
1765,2017-04-13
1766,2017-04-14
1767,2017-04-17
1768,2017-04-18
1769,2017-04-19
1770,2017-04-20
1771,2017-04-21
1772,2017-04-24
1773,2017-04-25
1774,2017-04-26
1775,2017-04-27
1776,2017-04-28
1777,2017-05-02
1778,2017-05-03
1779,2017-05-04
1780,2017-05-05
1781,2017-05-08
1782,2017-05-09
1783,2017-05-10
1784,2017-05-11
1785,2017-05-12
1786,2017-05-15
1787,2017-05-16
1788,2017-05-17
1789,2017-05-18
1790,2017-05-19
1791,2017-05-22
1792,2017-05-23
1793,2017-05-24
1794,2017-05-25
1795,2017-05-26
1796,2017-05-31
1797,2017-06-01
1798,2017-06-02
1799,2017-06-05
1800,2017-06-06
1801,2017-06-07
1802,2017-06-08
1803,2017-06-09
1804,2017-06-12
1805,2017-06-13
1806,2017-06-14
1807,2017-06-15
1808,2017-06-16
1809,2017-06-19
1810,2017-06-20
1811,2017-06-21
1812,2017-06-22
1813,2017-06-23
1814,2017-06-26
1815,2017-06-27
1816,2017-06-28
1817,2017-06-29
1818,2017-06-30
1819,2017-07-03
1820,2017-07-04
1821,2017-07-05
1822,2017-07-06
1823,2017-07-07
1824,2017-07-10
1825,2017-07-11
1826,2017-07-12
1827,2017-07-13
1828,2017-07-14
1829,2017-07-17
1830,2017-07-18
1831,2017-07-19
1832,2017-07-20
1833,2017-07-21
1834,2017-07-24
1835,2017-07-25
1836,2017-07-26
1837,2017-07-27
1838,2017-07-28
1839,2017-07-31
1840,2017-08-01
1841,2017-08-02
1842,2017-08-03
1843,2017-08-04
1844,2017-08-07
1845,2017-08-08
1846,2017-08-09
1847,2017-08-10
1848,2017-08-11
1849,2017-08-14
1850,2017-08-15
1851,2017-08-16
1852,2017-08-17
1853,2017-08-18
1854,2017-08-21
1855,2017-08-22
1856,2017-08-23
1857,2017-08-24
1858,2017-08-25
1859,2017-08-28
1860,2017-08-29
1861,2017-08-30
1862,2017-08-31
1863,2017-09-01
1864,2017-09-04
1865,2017-09-05
1866,2017-09-06
1867,2017-09-07
1868,2017-09-08
1869,2017-09-11
1870,2017-09-12
1871,2017-09-13
1872,2017-09-14
1873,2017-09-15
1874,2017-09-18
1875,2017-09-19
1876,2017-09-20
1877,2017-09-21
1878,2017-09-22
1879,2017-09-25
1880,2017-09-26
1881,2017-09-27
1882,2017-09-28
1883,2017-09-29
1884,2017-10-09
1885,2017-10-10
1886,2017-10-11
1887,2017-10-12
1888,2017-10-13
1889,2017-10-16
1890,2017-10-17
1891,2017-10-18
1892,2017-10-19
1893,2017-10-20
1894,2017-10-23
1895,2017-10-24
1896,2017-10-25
1897,2017-10-26
1898,2017-10-27
1899,2017-10-30
1900,2017-10-31
1901,2017-11-01
1902,2017-11-02
1903,2017-11-03
1904,2017-11-06
1905,2017-11-07
1906,2017-11-08
1907,2017-11-09
1908,2017-11-10
1909,2017-11-13
1910,2017-11-14
1911,2017-11-15
1912,2017-11-16
1913,2017-11-17
1914,2017-11-20
1915,2017-11-21
1916,2017-11-22
1917,2017-11-23
1918,2017-11-24
1919,2017-11-27
1920,2017-11-28
1921,2017-11-29
1922,2017-11-30
1923,2017-12-01
1924,2017-12-04
1925,2017-12-05
1926,2017-12-06
1927,2017-12-07
1928,2017-12-08
1929,2017-12-11
1930,2017-12-12
1931,2017-12-13
1932,2017-12-14
1933,2017-12-15
1934,2017-12-18
1935,2017-12-19
1936,2017-12-20
1937,2017-12-21
1938,2017-12-22
1939,2017-12-25
1940,2017-12-26
1941,2017-12-27
1942,2017-12-28
1943,2017-12-29
