,801140.SI,801110.SI,801750.SI,801890.SI,801200.SI,801120.SI,801050.SI,801760.SI,801770.SI,801160.SI,801150.SI,801780.SI,801790.SI,801020.SI,801030.SI,801080.SI,801230.SI,801130.SI,801210.SI,801710.SI,801740.SI,801180.SI,801170.SI,801040.SI,801730.SI,801880.SI,801720.SI,801010.SI
2017-05-24,0.054058022277247986,-0.10961007167876735,0.6562541959986845,0.7602177958508483,0.36401635202794047,-0.7822008220843557,-0.06514301021588453,0.44156122042073864,0.45847258902627086,0.9622494069165599,0.3157483517855386,-0.14236112169589976,0.13758561385510681,0.41165695887233067,0.6580493537015286,0.804155520830574,0.4619998947608561,-0.0528703651689999,0.2598985819742827,0.5411740063127946,0.8421481835789058,-0.07709115257881205,0.35111820736069,0.25487934152272906,0.3925432423133479,0.2980424169926721,0.5898042996114627,0.3951885078028017
2017-05-25,0.789754535752385,-0.4105368825504607,0.6822280080323706,0.7223328066323198,0.9025068363062161,0.5619188804987463,1.097187277257583,0.40863359510414643,0.7103556043257298,0.3609619636330885,0.24248945130740385,3.3644511740930305,4.179748467847388,1.8481756524318937,0.7982350174434272,0.0137937829449708,1.2972184005977994,0.5160893585085313,0.8204496531456495,0.675295846032542,1.4789471637961293,2.50937931216908,0.5457696480714258,1.8239350660457232,0.5907965042917462,0.44361979245362004,1.1862903173585737,0.3444288012871999
2017-05-26,0.1598236975857592,0.9415927481022157,-0.07618326570686396,0.10051002044155766,-0.4122925780532305,0.15904548482827963,0.024405235374924672,-0.2275949196185012,-0.22946818054063733,-0.21579822865621656,-0.040584144682476175,-0.29120507511967153,-0.34590667461056324,-0.008676547601715878,-0.586465963489402,-1.0869315364483212,0.36229261247100464,0.18287789282565026,0.2264736500952491,0.08901923636124298,-0.13255993931360344,-0.3662034826961813,0.31395184623237427,0.04924829539814102,0.3360576718327346,0.43925362985963723,0.5541938910682553,-0.533302790712642
2017-05-31,-0.07433323091865507,0.32729251101017987,-0.3620280198795789,-0.2632346655630835,1.4371565660360908,-0.5618826818952982,-0.568714097663392,0.05702852392783786,0.06560287109036445,0.1136777167414671,-0.09896401636311225,0.22067077993050965,0.43533529524439896,-0.8714488922496155,-0.15296870726245748,-0.1789407636355156,-0.2840479756000325,-0.06960313082763347,-1.0173185200572976,-0.3666326828885791,0.18567679960717065,0.993441087411151,0.41873628277695474,-0.9203753238675616,-0.21106896591642776,0.03414789031936927,0.33571142182537983,0.18855635640029345
2017-06-01,-2.610210734429652,-0.3675820753114234,-2.247311163601984,-2.6399744233346234,-2.054139483928319,0.0021892030935832807,-2.4523689065676146,-2.1416979017736426,-1.637068317232615,-1.7025371889096363,-0.6695043956278957,0.47879131791743745,0.33808970646878045,-1.8967139672803612,-2.119139898405753,-1.7134609116729482,-2.525135970184722,-1.8973492962559013,-0.7783048753445154,-3.0247139956529168,-2.4085590001225343,-0.637685867051907,-1.1510367238949715,-2.1828965357878816,-2.219171725764657,-1.3995855741474994,-1.1395026529194885,-1.721468977282925
2017-06-02,0.9539296128946884,-0.14502613743034853,1.1824279154116768,0.9725560337599859,0.5361088445353213,-0.2731579171404874,0.5720603489506093,1.2290348374613735,0.8550929193130941,1.026959446371678,0.21628300099056919,-0.6047556857623593,-1.1104967284121248,1.226250948050045,0.7774169027710665,0.9247917272930284,0.4512526944415063,0.5003399230400829,0.9588119910364679,1.1286011286011366,1.7483971718027735,0.834268901707258,0.4796677600715782,0.8520121108560819,0.9755962526347473,0.9377979968537842,0.7583728987553107,0.3000380072506248
2017-06-05,0.9371815953272078,0.05467940104495472,0.8310488898926272,0.7452255743149783,0.6476970391969594,-0.42707889983889524,0.9699353993996906,0.8289124668435122,0.41672983700111743,0.5682194512324656,0.03800621797842574,-1.4843925709347894,-0.5055682400633699,0.7911223044231086,0.7004491377241573,1.2643373712109218,0.8773441869791343,0.43020283847234886,0.8951548188937064,1.0191442982096177,0.8406666718083766,0.018556555903215255,0.17734282539692003,-0.026937236239565898,0.6350406128347474,0.16688228981756037,0.28559238929712905,0.23829216660047337
2017-06-06,0.8878361450920913,2.5605971796021088,0.8041841402973704,0.26030756128216925,0.17396346767177828,1.2247592429518228,0.32509931891233634,0.4903572741164819,0.5412038883060521,-0.011438831713983522,0.43912052388381806,0.07179333133071619,1.0578386605783807,0.07183840731126434,0.3670249529302394,0.40194682647418656,0.3923127621956901,0.17486113968319117,0.07502816004700819,0.01426528371661906,1.4730514191313215,0.6335781491243697,0.24928556203056562,0.37761342070117276,0.2554877325025906,0.7152769295155847,0.26763519069403774,0.6568353404311722
2017-06-07,2.021576248295265,1.5699774588889381,2.365886232286596,2.0304707623171048,1.6495568017366402,2.099367564160093,1.889098890379226,2.394587155080319,1.8944134056701367,1.610286419513418,1.757757939716842,1.0250976319194027,0.7820329380687774,1.3293049473615204,2.0960612773117226,2.074237247892796,2.269648402492641,1.9363450576167063,2.071808604347991,2.945451197119908,1.334840776333146,1.3683128662096644,1.2826103408882128,1.6195355749292872,1.8195686603316608,1.3068659672060612,2.0938877349409912,1.7128061419791063
2017-06-08,0.3340292275574086,2.55704150413818,-0.09652153030499377,-0.3538337585604956,-0.009342987754012988,1.7234350669204312,-0.20584196243983444,-0.02255872317626917,-0.08124520558816517,-0.10337662869367437,0.49913308464246686,0.166095188290738,1.1777418854216348,-0.3486810492465797,-0.20068445360003073,0.2574838305323457,0.08457305889546518,0.39641922958195686,0.0038355176606330588,1.008970772643969,-0.26776549692814067,0.012752115596881275,0.7280102476515893,0.06967520634582058,-0.08482540263473615,0.7595205011657891,0.187013277012249,-0.0003550417706721376
