Code,TotalShares,Industry,IndCode
sh600684,853460723.0,房地产,801180.SI
sh600685,1413506378.0,国防军工,801740.SI
sh600686,606738511.0,汽车,801880.SI
sh600687,1488715304.0,有色金属,801050.SI
sh600688,10800000000.0,化工,801030.SI
sh600689,200991343.0,纺织服装,801130.SI
sh600690,6097402727.0,家用电器,801110.SI
sh600691,1756786906.0,化工,801030.SI
sh600692,351764064.0,交通运输,801170.SI
sh600693,898229148.0,商业贸易,801200.SI
sh600694,293718653.0,商业贸易,801200.SI
sh600695,711132100.0,农林牧渔,801010.SI
sh600696,340565550.0,房地产,801180.SI
sh600697,159088075.0,商业贸易,801200.SI
sh600698,971817440.0,汽车,801880.SI
sh600699,949289000.0,汽车,801880.SI
sh600701,1034735218.0,计算机,801750.SI
sh600702,337300000.0,食品饮料,801120.SI
sh600703,4078424928.0,电子,801080.SI
sh600704,4306682417.0,综合,801230.SI
sh600705,8976325766.0,非银金融,801790.SI
sh600706,179509675.0,休闲服务,801210.SI
sh600707,736757688.0,电子,801080.SI
sh600708,1714335956.0,房地产,801180.SI
sh600710,1306749434.0,机械设备,801890.SI
sh600711,1497052305.0,有色金属,801050.SI
sh600712,544655360.0,商业贸易,801200.SI
sh600713,897425598.0,医药生物,801150.SI
sh600714,288176273.0,化工,801030.SI
sh600715,1854853500.0,传媒,801760.SI
sh600716,936060590.0,房地产,801180.SI
sh600717,1674769120.0,交通运输,801170.SI
sh600718,1243197745.0,计算机,801750.SI
sh600719,404599600.0,公用事业,801160.SI
sh600720,776290282.0,建筑材料,801710.SI
sh600721,400386394.0,医药生物,801150.SI
sh600722,680319676.0,化工,801030.SI
sh600723,658407554.0,商业贸易,801200.SI
sh600724,1445241071.0,房地产,801180.SI
sh600725,1232470000.0,采掘,801020.SI
sh600726,1966675153.0,公用事业,801160.SI
sh600727,350986607.0,化工,801030.SI
sh600728,1617339924.0,计算机,801750.SI
sh600729,406528465.0,商业贸易,801200.SI
sh600730,586656002.0,综合,801230.SI
sh600731,327314098.0,化工,801030.SI
sh600732,446383080.0,房地产,801180.SI
sh600733,197586000.0,房地产,801180.SI
sh600734,623515807.0,通信,801770.SI
sh600735,375992296.0,商业贸易,801200.SI
sh600736,1194292932.0,房地产,801180.SI
sh600737,2051876155.0,农林牧渔,801010.SI
sh600738,783095436.0,商业贸易,801200.SI
sh600739,1529709816.0,商业贸易,801200.SI
sh600740,765700000.0,采掘,801020.SI
sh600741,3152723984.0,汽车,801880.SI
sh600742,423046800.0,汽车,801880.SI
sh600743,2346100874.0,房地产,801180.SI
sh600744,1781124274.0,公用事业,801160.SI
sh600745,637266387.0,通信,801770.SI
sh600746,306421452.0,化工,801030.SI
sh600747,1464328399.0,综合,801230.SI
sh600748,1844562892.0,房地产,801180.SI
sh600749,189137931.0,休闲服务,801210.SI
sh600750,300000000.0,医药生物,801150.SI
sh600751,2899337783.0,交通运输,801170.SI
sh600753,128000000.0,建筑材料,801710.SI
sh600754,957936440.0,休闲服务,801210.SI
sh600755,1664961009.0,商业贸易,801200.SI
sh600756,324098753.0,计算机,801750.SI
sh600757,1213650273.0,传媒,801760.SI
sh600758,1331408935.0,采掘,801020.SI
sh600759,2263507518.0,采掘,801020.SI
sh600760,344940390.0,国防军工,801740.SI
