Code,TOTAL_SHARES,Industry
sz000933,1900500000.0,有色金属
sz000935,763440333.0,建筑材料
sz000936,886012887.0,化工
sz000937,3533546850.0,采掘
sz000938,1042303162.0,计算机
sz000939,3929595494.0,公用事业
sz000948,246606046.0,计算机
sz000949,1257656049.0,化工
sz000950,598799235.0,化工
sz000951,671080800.0,汽车
sz000952,251705513.0,医药生物
sz000953,294059437.0,化工
sz000955,538395000.0,纺织服装
sz000957,592903936.0,汽车
sz000958,1102273226.0,公用事业
sz000959,5289389600.0,钢铁
sz000960,1668776379.0,有色金属
sz000961,3709788797.0,房地产
sz000962,440832644.0,有色金属
sz000963,972116416.0,医药生物
sz000965,1008937178.0,房地产
sz000966,1108284080.0,公用事业
sz000967,1093131877.0,公用事业
sz000968,967502660.0,采掘
sz000969,1026008097.0,有色金属
sz000970,1065200000.0,有色金属
sz000971,511273668.0,通信
sz000972,771283579.0,农林牧渔
sz000973,967423171.0,化工
sz000975,1081616070.0,有色金属
sz000976,1595678796.0,机械设备
sz000977,1289252171.0,计算机
sz000978,360100000.0,休闲服务
sz000979,8390601199.0,房地产
sz000980,2037732279.0,汽车
sz000981,3058430395.0,房地产
sz000982,1805043279.0,纺织服装
sz000983,3151200000.0,采掘
sz000985,129639500.0,化工
sz000987,2223830413.0,非银金融
sz000988,891116632.0,电子
sz000989,869354236.0,医药生物
sz000990,1253011919.0,化工
sz000993,373000000.0,综合
sz000995,177408000.0,食品饮料
sz000996,345000000.0,汽车
sz000997,938162458.0,计算机
sz000998,1256194674.0,农林牧渔
sz000999,978900000.0,医药生物
sz001696,1145026920.0,汽车
sz001896,1150587847.0,公用事业
sz001979,7904092722.0,房地产
sz002001,1088919000.0,医药生物
sz002002,2584549733.0,化工
sz002003,583092637.0,纺织服装
sz002004,2034827685.0,化工
sz002005,1396400000.0,电子
sz002006,455160000.0,机械设备
sz002007,930087680.0,医药生物
sz002008,1067065245.0,电子
sz002009,370549434.0,机械设备
sz002010,3257814678.0,化工
sz002011,917212180.0,家用电器
sz002012,467625470.0,轻工制造
sz002013,2405755557.0,国防军工
sz002014,335744483.0,轻工制造
sz002015,400703825.0,化工
sz002016,809095632.0,房地产
sz002017,346416336.0,通信
sz002018,2277827422.0,综合
sz002019,1206974577.0,医药生物
sz002020,736124472.0,医药生物
sz002021,687815040.0,机械设备
sz002022,512569193.0,医药生物
sz002023,756791003.0,国防军工
sz002024,9310039655.0,商业贸易
sz002025,429000000.0,电子
sz002026,420098419.0,机械设备
sz002027,12231566900.0,传媒
sz002028,760209282.0,电气设备
sz002029,755670000.0,纺织服装
sz002030,724920472.0,医药生物
sz002031,2199395670.0,机械设备
sz002032,821287610.0,家用电器
sz002033,549490711.0,休闲服务
sz002034,108040000.0,纺织服装
sz002035,581762083.0,家用电器
sz002036,558029837.0,电子
sz002037,327368160.0,化工
sz002038,684900000.0,医药生物
sz002039,305398662.0,公用事业
sz002040,372282154.0,交通运输
sz002041,880000000.0,农林牧渔
sz002042,1012878037.0,纺织服装
sz002043,861060685.0,建筑材料
sz002044,2421482706.0,医药生物
sz002045,416904000.0,电子
sz002046,353609448.0,机械设备
sz002047,1263101435.0,建筑装饰
sz002048,530047150.0,汽车
sz002049,606817968.0,电子
sz002050,2120316835.0,家用电器
sz002051,1112774016.0,建筑装饰
sz002052,745959694.0,家用电器
sz002053,558329336.0,化工
sz002054,419230828.0,化工
sz002055,467144096.0,电子
sz002056,1643600000.0,电子
sz002057,235307457.0,有色金属
sz002058,143448332.0,电气设备
sz002059,730792576.0,休闲服务
sz002060,1202262058.0,建筑装饰
sz002061,661688958.0,化工
sz002062,1102500000.0,建筑装饰
sz002063,602704550.0,计算机
sz002064,1676800000.0,化工
sz002065,3139787560.0,计算机
sz002066,231000000.0,建筑材料
sz002067,1128451000.0,轻工制造
sz002068,727063596.0,化工
sz002069,711112194.0,农林牧渔
sz002070,635258156.0,有色金属
sz002071,525429878.0,传媒
sz002072,176000000.0,计算机
sz002073,935444674.0,机械设备
sz002074,877600000.0,电气设备
sz002075,2206771772.0,钢铁
sz002076,730241172.0,电子
sz002077,580348513.0,房地产
sz002078,2535855238.0,轻工制造
sz002079,727971487.0,电子
sz002080,806790185.0,化工
sz002081,2643308689.0,建筑装饰
sz002082,238000000.0,建筑材料
sz002083,908000005.0,纺织服装
sz002084,456316228.0,轻工制造
sz002085,2186879678.0,汽车
sz002086,687700000.0,农林牧渔
sz002087,816794335.0,纺织服装
sz002088,350968033.0,建筑材料
sz002089,1374669616.0,通信
sz002090,237802904.0,电气设备
sz002091,1571540540.0,商业贸易
sz002092,2146449598.0,化工
sz002093,1007500000.0,通信
sz002094,392548392.0,商业贸易
sz002095,252720000.0,传媒
sz002096,371287000.0,化工
sz002097,755325000.0,机械设备
sz002098,358000000.0,纺织服装
sz002099,1621610253.0,医药生物
sz002100,963384608.0,农林牧渔
sz002101,354717911.0,汽车
sz002102,2633836290.0,轻工制造
sz002103,549212944.0,传媒
sz002104,713648000.0,通信
sz002105,368500000.0,汽车
sz002106,705816160.0,电子
sz002107,360756000.0,医药生物
sz002108,1090710923.0,化工
sz002109,701963193.0,化工
sz002110,1373614962.0,钢铁
sz002111,381827504.0,机械设备
sz002112,201600000.0,电气设备
sz002113,754479856.0,传媒
sz002114,323395267.0,有色金属
sz002115,416094000.0,通信
sz002116,417628938.0,建筑装饰
sz002117,363777614.0,轻工制造
sz002118,1280759826.0,医药生物
sz002119,206200000.0,电子
sz002120,1217253678.0,交通运输
sz002121,1407511773.0,电气设备
sz002122,1188000000.0,机械设备
sz002123,861595025.0,传媒
sz002124,773085399.0,农林牧渔
sz002125,345599985.0,化工
sz002126,801081664.0,汽车
sz002127,1538259532.0,商业贸易
sz002128,1634378473.0,采掘
sz002129,2644236466.0,电气设备
sz002130,1262319062.0,有色金属
sz002131,5607625387.0,传媒
sz002132,1256564426.0,机械设备
sz002133,774144175.0,房地产
sz002134,245849768.0,电子
sz002135,854532200.0,建筑装饰
sz002136,215020000.0,化工
sz002137,579416324.0,传媒
sz002138,816615354.0,电子
sz002139,680206978.0,电子
sz002140,446034534.0,建筑装饰
sz002141,1134656519.0,电子
sz002142,5069732305.0,银行
sz002143,1769834184.0,传媒
sz002144,176762528.0,纺织服装
sz002145,1591821576.0,化工
sz002146,4348163851.0,房地产
sz002147,1828076415.0,机械设备
sz002148,567362127.0,传媒
sz002149,425414274.0,有色金属
sz002150,274243887.0,机械设备
sz002151,512760675.0,国防军工
sz002152,2428885725.0,计算机
sz002153,1066788753.0,计算机
sz002154,1263285008.0,纺织服装
sz002155,1202039474.0,有色金属
sz002156,972630114.0,电子
sz002157,2333655173.0,农林牧渔
sz002158,530381122.0,机械设备
sz002159,138666666.0,休闲服务
sz002160,724269941.0,有色金属
sz002161,739757400.0,电子
sz002162,852150000.0,建筑材料
sz002163,803550000.0,建筑材料
sz002164,699347282.0,机械设备
sz002165,602058110.0,化工
sz002166,437281362.0,医药生物
sz002167,620946000.0,有色金属
sz002168,820589768.0,电气设备
sz002169,787791994.0,电气设备
sz002170,890047497.0,化工
sz002171,1069208056.0,有色金属
sz002172,733494462.0,化工
sz002173,455979402.0,农林牧渔
sz002174,861315045.0,传媒
sz002175,753778212.0,传媒
sz002176,1469182112.0,电气设备
sz002177,761191294.0,计算机
sz002178,716038334.0,建筑装饰
sz002179,791013709.0,电子
sz002180,1012024028.0,电子
sz002181,1161058174.0,传媒
sz002182,646422538.0,有色金属
sz002183,2119295550.0,交通运输
sz002184,242817049.0,电气设备
sz002185,2131112944.0,电子
sz002186,308463955.0,休闲服务
sz002187,342422568.0,商业贸易
sz002188,295627524.0,传媒
sz002189,199240000.0,电子
sz002190,345188382.0,国防军工
sz002191,1306047200.0,轻工制造
sz002192,259655203.0,机械设备
sz002193,261715550.0,纺织服装
sz002194,564669722.0,通信
sz002195,3285446248.0,计算机
sz002196,450899624.0,电气设备
sz002197,515156948.0,计算机
sz002198,507509848.0,医药生物
sz002199,243442363.0,电子
sz002200,184132890.0,建筑装饰
sz002201,332467470.0,化工
sz002202,3556203300.0,电气设备
sz002203,1696017113.0,有色金属
sz002204,1931370032.0,机械设备
